"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"Alabama"	"01"	"< 1 year"	"1"	903	62603	1442.4
	"1979"	"1979"	"Alabama"	"01"	"1-4 years"	"1-4"	189	234211	80.7
	"1979"	"1979"	"Alabama"	"01"	"5-9 years"	"5-9"	108	317323	34.0
	"1979"	"1979"	"Alabama"	"01"	"10-14 years"	"10-14"	134	332370	40.3
	"1979"	"1979"	"Alabama"	"01"	"15-19 years"	"15-19"	404	381921	105.8
	"1979"	"1979"	"Alabama"	"01"	"20-24 years"	"20-24"	526	358628	146.7
	"1979"	"1979"	"Alabama"	"01"	"25-34 years"	"25-34"	967	582687	166.0
	"1979"	"1979"	"Alabama"	"01"	"35-44 years"	"35-44"	1235	422925	292.0
	"1979"	"1979"	"Alabama"	"01"	"45-54 years"	"45-54"	2805	390983	717.4
	"1979"	"1979"	"Alabama"	"01"	"55-64 years"	"55-64"	5374	357360	1503.8
	"1979"	"1979"	"Alabama"	"01"	"65-74 years"	"65-74"	8410	275233	3055.6
	"1979"	"1979"	"Alabama"	"01"	"75-84 years"	"75-84"	8332	124154	6711.0
	"1979"	"1979"	"Alabama"	"01"	"85+ years"	"85+"	5067	33005	15352.2
	"1979"	"1979"	"Alabama"	"01"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
	"1979"	"1979"	"Alaska"	"02"	"< 1 year"	"1"	145	9096	1594.1
	"1979"	"1979"	"Alaska"	"02"	"1-4 years"	"1-4"	28	30925	90.5
	"1979"	"1979"	"Alaska"	"02"	"5-9 years"	"5-9"	10	36176	27.6 (Unreliable)
	"1979"	"1979"	"Alaska"	"02"	"10-14 years"	"10-14"	12	35498	33.8 (Unreliable)
	"1979"	"1979"	"Alaska"	"02"	"15-19 years"	"15-19"	64	37922	168.8
	"1979"	"1979"	"Alaska"	"02"	"20-24 years"	"20-24"	82	45628	179.7
	"1979"	"1979"	"Alaska"	"02"	"25-34 years"	"25-34"	140	89672	156.1
	"1979"	"1979"	"Alaska"	"02"	"35-44 years"	"35-44"	128	53609	238.8
	"1979"	"1979"	"Alaska"	"02"	"45-54 years"	"45-54"	202	34559	584.5
	"1979"	"1979"	"Alaska"	"02"	"55-64 years"	"55-64"	236	20573	1147.1
	"1979"	"1979"	"Alaska"	"02"	"65-74 years"	"65-74"	242	7931	3051.3
	"1979"	"1979"	"Alaska"	"02"	"75-84 years"	"75-84"	194	2532	7661.9
	"1979"	"1979"	"Alaska"	"02"	"85+ years"	"85+"	84	614	13680.8
	"1979"	"1979"	"Alaska"	"02"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1979"	"1979"	"Arizona"	"04"	"< 1 year"	"1"	636	46709	1361.6
	"1979"	"1979"	"Arizona"	"04"	"1-4 years"	"1-4"	144	165615	86.9
	"1979"	"1979"	"Arizona"	"04"	"5-9 years"	"5-9"	75	208533	36.0
	"1979"	"1979"	"Arizona"	"04"	"10-14 years"	"10-14"	71	217514	32.6
	"1979"	"1979"	"Arizona"	"04"	"15-19 years"	"15-19"	321	249131	128.8
	"1979"	"1979"	"Arizona"	"04"	"20-24 years"	"20-24"	424	256495	165.3
	"1979"	"1979"	"Arizona"	"04"	"25-34 years"	"25-34"	712	423995	167.9
