Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate,Alabama!!Total!!Estimate,Alabama!!Male!!Estimate,Alabama!!Female!!Estimate,Alaska!!Total!!Estimate,Alaska!!Male!!Estimate,Alaska!!Female!!Estimate,Arizona!!Total!!Estimate,Arizona!!Male!!Estimate,Arizona!!Female!!Estimate,Arkansas!!Total!!Estimate,Arkansas!!Male!!Estimate,Arkansas!!Female!!Estimate,California!!Total!!Estimate,California!!Male!!Estimate,California!!Female!!Estimate,Colorado!!Total!!Estimate,Colorado!!Male!!Estimate,Colorado!!Female!!Estimate,Connecticut!!Total!!Estimate,Connecticut!!Male!!Estimate,Connecticut!!Female!!Estimate,Delaware!!Total!!Estimate,Delaware!!Male!!Estimate,Delaware!!Female!!Estimate,District of Columbia!!Total!!Estimate,District of Columbia!!Male!!Estimate,District of Columbia!!Female!!Estimate,Florida!!Total!!Estimate,Florida!!Male!!Estimate,Florida!!Female!!Estimate,Georgia!!Total!!Estimate,Georgia!!Male!!Estimate,Georgia!!Female!!Estimate,Hawaii!!Total!!Estimate,Hawaii!!Male!!Estimate,Hawaii!!Female!!Estimate,Idaho!!Total!!Estimate,Idaho!!Male!!Estimate,Idaho!!Female!!Estimate,Illinois!!Total!!Estimate,Illinois!!Male!!Estimate,Illinois!!Female!!Estimate,Indiana!!Total!!Estimate,Indiana!!Male!!Estimate,Indiana!!Female!!Estimate,Iowa!!Total!!Estimate,Iowa!!Male!!Estimate,Iowa!!Female!!Estimate,Kansas!!Total!!Estimate,Kansas!!Male!!Estimate,Kansas!!Female!!Estimate,Kentucky!!Total!!Estimate,Kentucky!!Male!!Estimate,Kentucky!!Female!!Estimate,Louisiana!!Total!!Estimate,Louisiana!!Male!!Estimate,Louisiana!!Female!!Estimate,Maine!!Total!!Estimate,Maine!!Male!!Estimate,Maine!!Female!!Estimate,Maryland!!Total!!Estimate,Maryland!!Male!!Estimate,Maryland!!Female!!Estimate,Massachusetts!!Total!!Estimate,Massachusetts!!Male!!Estimate,Massachusetts!!Female!!Estimate,Michigan!!Total!!Estimate,Michigan!!Male!!Estimate,Michigan!!Female!!Estimate,Minnesota!!Total!!Estimate,Minnesota!!Male!!Estimate,Minnesota!!Female!!Estimate,Mississippi!!Total!!Estimate,Mississippi!!Male!!Estimate,Mississippi!!Female!!Estimate,Missouri!!Total!!Estimate,Missouri!!Male!!Estimate,Missouri!!Female!!Estimate,Montana!!Total!!Estimate,Montana!!Male!!Estimate,Montana!!Female!!Estimate,Nebraska!!Total!!Estimate,Nebraska!!Male!!Estimate,Nebraska!!Female!!Estimate,Nevada!!Total!!Estimate,Nevada!!Male!!Estimate,Nevada!!Female!!Estimate,New Hampshire!!Total!!Estimate,New Hampshire!!Male!!Estimate,New Hampshire!!Female!!Estimate,New Jersey!!Total!!Estimate,New Jersey!!Male!!Estimate,New Jersey!!Female!!Estimate,New Mexico!!Total!!Estimate,New Mexico!!Male!!Estimate,New Mexico!!Female!!Estimate,New York!!Total!!Estimate,New York!!Male!!Estimate,New York!!Female!!Estimate,North Carolina!!Total!!Estimate,North Carolina!!Male!!Estimate,North Carolina!!Female!!Estimate,North Dakota!!Total!!Estimate,North Dakota!!Male!!Estimate,North Dakota!!Female!!Estimate,Ohio!!Total!!Estimate,Ohio!!Male!!Estimate,Ohio!!Female!!Estimate,Oklahoma!!Total!!Estimate,Oklahoma!!Male!!Estimate,Oklahoma!!Female!!Estimate,Oregon!!Total!!Estimate,Oregon!!Male!!Estimate,Oregon!!Female!!Estimate,Pennsylvania!!Total!!Estimate,Pennsylvania!!Male!!Estimate,Pennsylvania!!Female!!Estimate,Rhode Island!!Total!!Estimate,Rhode Island!!Male!!Estimate,Rhode Island!!Female!!Estimate,South Carolina!!Total!!Estimate,South Carolina!!Male!!Estimate,South Carolina!!Female!!Estimate,South Dakota!!Total!!Estimate,South Dakota!!Male!!Estimate,South Dakota!!Female!!Estimate,Tennessee!!Total!!Estimate,Tennessee!!Male!!Estimate,Tennessee!!Female!!Estimate,Texas!!Total!!Estimate,Texas!!Male!!Estimate,Texas!!Female!!Estimate,Utah!!Total!!Estimate,Utah!!Male!!Estimate,Utah!!Female!!Estimate,Vermont!!Total!!Estimate,Vermont!!Male!!Estimate,Vermont!!Female!!Estimate,Virginia!!Total!!Estimate,Virginia!!Male!!Estimate,Virginia!!Female!!Estimate,Washington!!Total!!Estimate,Washington!!Male!!Estimate,Washington!!Female!!Estimate,West Virginia!!Total!!Estimate,West Virginia!!Male!!Estimate,West Virginia!!Female!!Estimate,Wisconsin!!Total!!Estimate,Wisconsin!!Male!!Estimate,Wisconsin!!Female!!Estimate,Wyoming!!Total!!Estimate,Wyoming!!Male!!Estimate,Wyoming!!Female!!Estimate,Puerto Rico!!Total!!Estimate,Puerto Rico!!Male!!Estimate,Puerto Rico!!Female!!Estimate
Total population,318558162,156765322,161792840,4841164,2346193,2494971,736855,385296,351559,6728577,3344106,3384471,2968472,1456694,1511778,38654206,19200970,19453236,5359295,2689636,2669659,3588570,1750270,1838300,934695,452416,482279,659009,312629,346380,19934451,9741262,10193189,10099320,4922471,5176849,1413673,709870,703803,1635483,819845,815638,12851684,6310460,6541224,6589578,3245322,3344256,3106589,1542988,1563601,2898292,1441912,1456380,4411989,2172745,2239244,4645670,2271684,2373986,1329923,651344,678579,5959902,2886734,3073168,6742143,3269371,3472772,9909600,4869885,5039715,5450868,2710157,2740711,2989192,1450269,1538923,6059651,2973317,3086334,1023391,514191,509200,1881259,935935,945324,2839172,1426322,1412850,1327503,656507,670996,8915456,4350531,4564925,2082669,1031440,1051229,19697457,9555130,10142327,9940828,4834592,5106236,736162,376979,359183,11586941,5673893,5913048,3875589,1919995,1955594,3982267,1971512,2010755,12783977,6255042,6528935,1054491,511297,543194,4834605,2348338,2486267,851058,428134,422924,6548009,3191977,3356032,26956435,13379165,13577270,2948427,1483055,1465372,626249,308711,317538,8310301,4086283,4224018,7073146,3529431,3543715,1846092,912270,933822,5754798,2859055,2895743,583029,297691,285338,3529385,1685787,1843598
AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Under 5 years,6.2%,6.5%,6.0%,6.0%,6.3%,5.8%,7.4%,7.2%,7.5%,6.5%,6.6%,6.3%,6.4%,6.7%,6.2%,6.5%,6.7%,6.3%,6.3%,6.4%,6.1%,5.3%,5.5%,5.0%,5.9%,6.3%,5.7%,6.4%,6.8%,5.9%,5.5%,5.7%,5.3%,6.5%,6.9%,6.2%,6.5%,6.6%,6.4%,7.0%,7.1%,6.9%,6.1%,6.4%,5.9%,6.4%,6.6%,6.1%,6.3%,6.5%,6.1%,6.9%,7.1%,6.7%,6.2%,6.5%,6.0%,6.7%,6.9%,6.4%,4.9%,5.1%,4.7%,6.2%,6.5%,5.9%,5.4%,5.7%,5.1%,5.8%,6.1%,5.5%,6.4%,6.6%,6.2%,6.4%,6.7%,6.2%,6.2%,6.4%,5.9%,6.0%,6.1%,5.8%,6.9%,7.2%,6.7%,6.4%,6.5%,6.2%,4.9%,5.0%,4.7%,5.9%,6.2%,5.7%,6.4%,6.7%,6.2%,5.9%,6.3%,5.6%,6.1%,6.4%,5.8%,7.0%,6.9%,7.0%,6.0%,6.3%,5.7%,6.9%,7.1%,6.6%,5.8%,6.0%,5.6%,5.6%,5.8%,5.3%,5.2%,5.5%,4.9%,6.0%,6.3%,5.8%,7.1%,7.2%,7.0%,6.1%,6.4%,5.9%,7.3%,7.5%,7.1%,8.6%,8.8%,8.4%,4.8%,5.1%,4.6%,6.1%,6.4%,5.9%,6.3%,6.5%,6.2%,5.5%,5.7%,5.3%,5.9%,6.1%,5.7%,6.5%,6.5%,6.5%,5.2%,5.6%,4.9%
    5 to 9 years,6.4%,6.7%,6.2%,6.3%,6.7%,6.0%,7.1%,6.9%,7.4%,6.8%,7.0%,6.6%,6.8%,7.1%,6.5%,6.6%,6.7%,6.4%,6.6%,6.8%,6.5%,5.9%,6.2%,5.6%,6.1%,6.2%,6.0%,4.9%,5.2%,4.6%,5.6%,5.9%,5.4%,7.0%,7.4%,6.6%,6.0%,6.2%,5.8%,7.5%,7.7%,7.3%,6.5%,6.7%,6.2%,6.7%,7.0%,6.4%,6.6%,6.8%,6.4%,7.0%,7.2%,6.8%,6.4%,6.6%,6.1%,6.7%,7.0%,6.5%,5.5%,5.8%,5.1%,6.3%,6.6%,5.9%,5.5%,5.8%,5.3%,6.1%,6.4%,5.9%,6.7%,6.9%,6.5%,7.0%,7.3%,6.6%,6.4%,6.7%,6.2%,6.4%,6.5%,6.2%,7.1%,7.2%,6.9%,6.7%,6.7%,6.6%,5.6%,5.8%,5.4%,6.2%,6.4%,5.9%,6.9%,7.0%,6.7%,5.8%,6.2%,5.5%,6.5%,6.8%,6.2%,6.5%,6.6%,6.5%,6.3%,6.6%,6.0%,6.9%,7.2%,6.7%,6.1%,6.3%,5.9%,5.8%,6.1%,5.6%,5.4%,5.8%,5.0%,6.4%,6.7%,6.1%,7.1%,7.2%,6.9%,6.4%,6.6%,6.1%,7.5%,7.7%,7.3%,8.8%,8.9%,8.7%,5.3%,5.5%,5.1%,6.3%,6.5%,6.1%,6.3%,6.5%,6.2%,5.7%,5.9%,5.5%,6.3%,6.5%,6.2%,6.9%,6.9%,7.0%,5.8%,6.3%,5.4%
    10 to 14 years,6.5%,6.7%,6.3%,6.5%,6.8%,6.2%,6.9%,6.9%,6.8%,6.8%,6.9%,6.6%,6.6%,6.8%,6.4%,6.6%,6.7%,6.4%,6.6%,6.7%,6.5%,6.4%,6.7%,6.1%,6.1%,6.6%,5.7%,3.8%,3.9%,3.6%,5.7%,6.0%,5.5%,7.0%,7.3%,6.8%,5.9%,6.0%,5.8%,7.5%,7.7%,7.4%,6.6%,6.9%,6.4%,6.8%,7.0%,6.6%,6.6%,6.8%,6.3%,6.9%,7.1%,6.8%,6.5%,6.8%,6.2%,6.6%,6.9%,6.3%,5.5%,5.7%,5.3%,6.3%,6.6%,6.0%,6.0%,6.3%,5.6%,6.5%,6.7%,6.2%,6.5%,6.7%,6.4%,7.0%,7.3%,6.6%,6.5%,6.8%,6.2%,6.0%,6.1%,6.0%,6.9%,7.1%,6.6%,6.5%,6.6%,6.4%,5.8%,6.0%,5.7%,6.4%,6.8%,6.1%,6.8%,7.0%,6.6%,5.9%,6.3%,5.7%,6.6%,6.9%,6.2%,5.8%,5.8%,5.8%,6.5%,6.7%,6.3%,6.8%,7.0%,6.6%,6.0%,6.2%,5.8%,6.0%,6.3%,5.7%,5.9%,6.2%,5.7%,6.3%,6.6%,6.0%,6.6%,6.8%,6.4%,6.4%,6.8%,6.2%,7.4%,7.6%,7.1%,8.5%,8.8%,8.2%,5.6%,5.8%,5.3%,6.2%,6.5%,6.0%,6.2%,6.4%,6.1%,5.8%,6.0%,5.6%,6.4%,6.7%,6.2%,6.6%,6.9%,6.4%,6.5%,6.9%,6.1%
    15 to 19 years,6.7%,6.9%,6.4%,6.7%,7.1%,6.4%,6.7%,6.8%,6.5%,6.8%,7.0%,6.6%,6.8%,7.0%,6.5%,6.8%,7.0%,6.6%,6.4%,6.6%,6.3%,7.0%,7.4%,6.7%,6.5%,6.8%,6.2%,5.8%,5.7%,5.8%,5.9%,6.3%,5.7%,7.0%,7.4%,6.7%,5.7%,5.8%,5.5%,7.1%,7.2%,7.0%,6.7%,7.0%,6.5%,7.0%,7.2%,6.7%,6.9%,7.2%,6.7%,7.0%,7.2%,6.7%,6.5%,6.8%,6.3%,6.6%,6.9%,6.3%,6.2%,6.5%,5.9%,6.5%,6.9%,6.2%,6.8%,7.1%,6.6%,6.9%,7.2%,6.6%,6.6%,6.7%,6.4%,7.1%,7.5%,6.8%,6.6%,6.9%,6.3%,6.3%,6.6%,6.0%,6.8%,7.0%,6.6%,6.2%,6.4%,6.0%,6.8%,7.0%,6.6%,6.5%,6.9%,6.2%,6.8%,7.0%,6.6%,6.5%,6.8%,6.2%,6.6%,6.9%,6.3%,6.6%,6.7%,6.4%,6.7%,7.0%,6.4%,6.7%,7.0%,6.4%,6.2%,6.4%,6.0%,6.6%,6.9%,6.3%,7.1%,7.3%,6.9%,6.5%,6.9%,6.2%,6.7%,6.9%,6.6%,6.4%,6.7%,6.1%,7.1%,7.4%,6.9%,7.7%,7.8%,7.7%,7.1%,7.3%,6.9%,6.6%,6.8%,6.4%,6.2%,6.4%,6.0%,6.0%,6.3%,5.8%,6.7%,6.9%,6.5%,6.3%,6.5%,6.1%,7.1%,7.6%,6.6%
    20 to 24 years,7.1%,7.4%,6.8%,7.1%,7.3%,6.9%,8.1%,8.7%,7.3%,7.2%,7.5%,6.9%,6.9%,7.2%,6.7%,7.5%,7.8%,7.2%,7.1%,7.4%,6.8%,6.7%,7.2%,6.3%,6.8%,7.1%,6.6%,8.9%,8.7%,9.2%,6.5%,6.8%,6.2%,7.2%,7.5%,6.9%,7.1%,7.9%,6.4%,6.8%,7.1%,6.5%,7.0%,7.2%,6.7%,7.3%,7.6%,7.0%,7.3%,7.6%,7.1%,7.5%,7.8%,7.1%,7.0%,7.4%,6.7%,7.4%,7.6%,7.2%,5.9%,6.3%,5.7%,6.7%,7.1%,6.4%,7.3%,7.5%,7.1%,7.3%,7.6%,7.0%,6.7%,6.8%,6.5%,7.3%,7.6%,7.0%,7.1%,7.3%,6.8%,7.1%,7.3%,6.9%,7.3%,7.5%,7.1%,6.6%,6.7%,6.5%,6.7%,7.0%,6.4%,6.4%,6.8%,6.0%,7.2%,7.5%,6.8%,7.2%,7.5%,7.0%,7.0%,7.4%,6.6%,9.2%,9.7%,8.8%,6.8%,7.0%,6.5%,7.3%,7.6%,7.1%,6.7%,6.9%,6.5%,6.8%,7.1%,6.5%,7.7%,8.1%,7.4%,7.2%,7.6%,6.8%,7.1%,7.4%,6.9%,7.0%,7.2%,6.8%,7.3%,7.6%,7.0%,8.4%,8.6%,8.3%,7.3%,7.7%,7.0%,7.1%,7.5%,6.7%,6.9%,7.2%,6.6%,6.7%,6.9%,6.5%,7.0%,7.2%,6.8%,7.2%,7.6%,6.9%,7.2%,7.6%,6.9%
    25 to 29 years,6.9%,7.1%,6.7%,6.6%,6.7%,6.5%,8.3%,8.4%,8.2%,6.8%,7.1%,6.5%,6.5%,6.6%,6.4%,7.6%,7.8%,7.3%,7.5%,7.7%,7.2%,6.1%,6.4%,5.9%,6.8%,7.1%,6.6%,11.9%,11.5%,12.2%,6.5%,6.8%,6.3%,6.9%,7.0%,6.7%,7.3%,7.7%,6.9%,6.5%,6.6%,6.5%,6.9%,7.2%,6.7%,6.4%,6.6%,6.3%,6.2%,6.4%,6.0%,6.6%,6.8%,6.4%,6.4%,6.6%,6.3%,7.3%,7.5%,7.2%,5.8%,5.9%,5.7%,7.0%,7.2%,6.8%,7.1%,7.3%,6.9%,6.2%,6.4%,6.0%,6.7%,6.9%,6.5%,6.6%,6.7%,6.4%,6.6%,6.8%,6.5%,6.2%,6.4%,6.1%,6.6%,6.8%,6.4%,7.2%,7.3%,7.1%,5.9%,6.2%,5.7%,6.4%,6.7%,6.1%,6.7%,7.0%,6.4%,7.4%,7.7%,7.2%,6.6%,6.7%,6.5%,7.7%,8.2%,7.2%,6.5%,6.7%,6.3%,6.9%,7.1%,6.7%,6.8%,7.0%,6.6%,6.6%,6.9%,6.4%,6.8%,7.2%,6.5%,6.6%,6.8%,6.5%,6.6%,6.8%,6.3%,6.7%,6.8%,6.5%,7.3%,7.5%,7.1%,7.3%,7.4%,7.3%,5.7%,5.9%,5.6%,7.0%,7.2%,6.8%,7.3%,7.5%,7.1%,5.9%,6.1%,5.7%,6.2%,6.4%,6.0%,7.0%,7.1%,6.8%,6.4%,6.6%,6.2%
    30 to 34 years,6.7%,6.9%,6.6%,6.3%,6.4%,6.3%,7.4%,7.5%,7.3%,6.6%,6.8%,6.4%,6.4%,6.6%,6.3%,7.2%,7.4%,7.0%,7.4%,7.6%,7.2%,6.1%,6.2%,6.0%,6.3%,6.4%,6.2%,10.8%,10.9%,10.7%,6.2%,6.3%,6.0%,6.8%,6.8%,6.8%,7.0%,7.2%,6.9%,6.6%,6.6%,6.5%,6.9%,7.0%,6.8%,6.4%,6.5%,6.3%,6.4%,6.6%,6.2%,6.7%,6.8%,6.5%,6.4%,6.6%,6.3%,7.0%,7.2%,6.9%,5.7%,5.7%,5.6%,6.8%,6.9%,6.7%,6.6%,6.8%,6.5%,6.0%,6.0%,5.9%,7.0%,7.1%,6.8%,6.5%,6.5%,6.4%,6.6%,6.7%,6.5%,6.3%,6.5%,6.2%,6.8%,7.0%,6.7%,7.1%,7.2%,7.0%,5.7%,5.8%,5.6%,6.5%,6.6%,6.3%,6.6%,6.7%,6.4%,6.9%,7.1%,6.8%,6.4%,6.5%,6.4%,7.0%,7.3%,6.6%,6.2%,6.3%,6.1%,6.9%,7.0%,6.7%,6.9%,7.0%,6.8%,6.2%,6.4%,6.0%,6.2%,6.4%,6.1%,6.3%,6.4%,6.2%,6.5%,6.7%,6.4%,6.5%,6.6%,6.4%,7.2%,7.3%,7.1%,7.6%,7.7%,7.5%,5.7%,5.8%,5.7%,6.9%,7.0%,6.8%,7.2%,7.3%,7.0%,6.0%,6.1%,5.8%,6.4%,6.6%,6.3%,7.0%,7.1%,6.9%,6.2%,6.2%,6.2%
    35 to 39 years,6.3%,6.4%,6.2%,6.1%,6.1%,6.1%,6.4%,6.5%,6.3%,6.2%,6.3%,6.0%,6.1%,6.2%,6.0%,6.7%,6.7%,6.6%,6.9%,7.0%,6.7%,5.8%,5.8%,5.7%,5.9%,5.9%,5.9%,7.7%,7.9%,7.4%,5.9%,6.0%,5.8%,6.7%,6.6%,6.7%,6.2%,6.2%,6.2%,6.2%,6.5%,6.0%,6.5%,6.6%,6.4%,6.2%,6.3%,6.1%,5.9%,6.0%,5.8%,6.1%,6.2%,5.9%,6.2%,6.3%,6.1%,6.2%,6.3%,6.1%,5.4%,5.5%,5.4%,6.3%,6.3%,6.4%,5.9%,6.0%,5.9%,5.8%,5.8%,5.7%,6.2%,6.3%,6.0%,6.1%,6.1%,6.1%,6.0%,6.2%,5.9%,5.9%,5.9%,5.8%,6.1%,6.3%,6.0%,6.6%,6.7%,6.5%,5.7%,5.7%,5.7%,6.3%,6.4%,6.3%,6.0%,6.1%,5.8%,6.3%,6.4%,6.2%,6.3%,6.4%,6.3%,5.9%,6.2%,5.6%,5.9%,6.0%,5.8%,6.1%,6.2%,5.9%,6.6%,6.7%,6.5%,5.7%,5.8%,5.6%,5.8%,5.9%,5.7%,6.0%,6.0%,6.0%,5.8%,6.0%,5.7%,6.3%,6.4%,6.2%,6.8%,6.8%,6.7%,7.2%,7.2%,7.1%,5.5%,5.4%,5.5%,6.5%,6.5%,6.4%,6.6%,6.7%,6.5%,6.0%,6.1%,5.9%,6.0%,6.1%,5.9%,6.2%,6.2%,6.1%,6.3%,6.3%,6.3%
