"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 01 ending January 09, 2021"	"2021/01"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 02 ending January 16, 2021"	"2021/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 04 ending January 30, 2021"	"2021/04"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 14 ending April 10, 2021"	"2021/14"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 18 ending May 08, 2021"	"2021/18"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 20 ending May 22, 2021"	"2021/20"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 25 ending June 26, 2021"	"2021/25"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 27 ending July 10, 2021"	"2021/27"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 28 ending July 17, 2021"	"2021/28"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 29 ending July 24, 2021"	"2021/29"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 35 ending September 04, 2021"	"2021/35"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 36 ending September 11, 2021"	"2021/36"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 37 ending September 18, 2021"	"2021/37"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 38 ending September 25, 2021"	"2021/38"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 39 ending October 02, 2021"	"2021/39"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 40 ending October 09, 2021"	"2021/40"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 41 ending October 16, 2021"	"2021/41"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 44 ending November 06, 2021"	"2021/44"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021 Week 47 ending November 27, 2021"	"2021/47"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021 Week 23 ending June 12, 2021"	"2021/23"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021 Week 24 ending June 19, 2021"	"2021/24"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021 Week 40 ending October 09, 2021"	"2021/40"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 01 ending January 09, 2021"	"2021/01"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 02 ending January 16, 2021"	"2021/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 03 ending January 23, 2021"	"2021/03"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 04 ending January 30, 2021"	"2021/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 08 ending February 27, 2021"	"2021/08"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 13 ending April 03, 2021"	"2021/13"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 16 ending April 24, 2021"	"2021/16"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 17 ending May 01, 2021"	"2021/17"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021 Week 19 ending May 15, 2021"	"2021/19"	10	Not Applicable	Not Applicable
