Area,Total,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Number of victim officers,536,51,70,56,52,57,55,48,58,41,48
NORTHEAST,48,0,3,5,3,8,5,7,7,3,7
New England,6,0,0,1,0,1,1,1,2,0,0
Connecticut,1,0,0,0,0,1,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2,0,0,1,0,0,0,0,1,0,0
New Hampshire,2,0,0,0,0,0,0,1,1,0,0
Rhode Island,1,0,0,0,0,0,1,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,42,0,3,4,3,7,4,6,5,3,7
New Jersey,6,0,1,0,1,0,0,1,2,0,1
New York,15,0,0,2,2,4,2,3,2,0,0
Pennsylvania,21,0,2,2,0,3,2,2,1,3,6
MIDWEST,96,13,14,12,8,10,10,6,9,9,5
East North Central,70,8,12,10,7,9,3,5,8,6,2
Illinois,18,1,6,2,0,1,0,2,1,3,2
Indiana,13,2,2,0,3,2,0,1,3,0,0
Michigan,17,2,3,3,1,4,1,1,1,1,0
Ohio,15,2,1,3,1,1,2,1,2,2,0
Wisconsin,7,1,0,2,2,1,0,0,1,0,0
West North Central,26,5,2,2,1,1,7,1,1,3,3
Iowa,0,0,0,0,0,0,0,0,0,0,0
Kansas,6,1,1,0,0,0,2,1,0,0,1
Minnesota,5,1,0,1,0,0,2,0,0,0,1
Missouri,13,3,1,1,0,1,3,0,1,3,0
Nebraska,1,0,0,0,1,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0
South Dakota,1,0,0,0,0,0,0,0,0,0,1
SOUTH,264,32,29,25,28,27,28,22,32,20,21
South Atlantic,122,15,13,11,15,10,13,11,14,13,7
Delaware,1,0,0,0,0,0,0,0,0,0,1
District of Columbia,3,0,1,0,0,1,0,1,0,0,0
Florida,25,1,1,1,2,3,2,3,6,3,3
Georgia,20,6,2,1,1,1,5,2,0,2,0
Maryland,14,3,3,3,0,1,1,0,2,1,0
North Carolina,20,2,4,0,2,3,1,0,3,2,3
South Carolina,18,2,1,5,3,1,1,0,3,2,0
Virginia,19,0,1,1,7,0,3,4,0,3,0
West Virginia,2,1,0,0,0,0,0,1,0,0,0
East South Central,53,3,6,6,7,8,9,4,3,2,5
Alabama,18,0,0,2,3,5,1,2,1,0,4
Kentucky,8,0,2,1,1,0,2,0,1,1,0
Mississippi,11,0,3,1,0,0,6,1,0,0,0
Tennessee,16,3,1,2,3,3,0,1,1,1,1
West South Central,89,14,10,8,6,9,6,7,15,5,9
Arkansas,5,1,0,1,0,0,0,1,1,0,1
Louisiana,25,3,0,2,3,6,2,2,5,2,0
Oklahoma,6,0,1,0,1,0,1,1,0,0,2
Texas,53,10,9,5,2,3,3,3,9,3,6
WEST,105,4,18,9,13,9,10,11,9,9,13
Mountain,35,1,9,3,3,3,4,4,4,2,2
Arizona,13,1,1,2,1,2,1,0,3,2,0
Colorado,5,0,1,0,0,0,1,2,0,0,1
Idaho,3,0,2,0,0,0,0,0,1,0,0
Montana,1,0,0,0,1,0,0,0,0,0,0
Nevada,2,0,1,0,0,0,0,1,0,0,0
New Mexico,7,0,2,0,0,1,2,1,0,0,1
Utah,4,0,2,1,1,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0
Pacific,70,3,9,6,10,6,6,7,5,7,11
Alaska,3,0,2,0,1,0,0,0,0,0,0
California,47,2,6,4,6,5,6,6,4,3,5
Hawaii,2,0,0,0,1,0,0,0,1,0,0
Oregon,3,0,0,1,0,0,0,0,0,2,0
Washington,15,1,1,1,2,1,0,1,0,2,6
PUERTO RICO AND OTHER OUTLYING AREAS,23,2,6,5,0,3,2,2,1,0,2
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,22,2,6,5,0,2,2,2,1,0,2
U.S. Virgin Islands,1,0,0,0,0,1,0,0,0,0,0
