Area,Total,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Number of victim officers,,,,,,,,,,,
NORTHEAST,,,,,,,,,,,
New England,,,,,,,,,,,
Connecticut,,0,2,0,0,0,0,0,1,1,0
Maine,,1,0,0,0,1,0,1,0,0,1
Massachusetts,,1,2,1,0,0,4,0,0,0,1
New Hampshire,,0,0,0,0,0,1,0,0,0,0
Rhode Island,,0,0,0,0,0,0,0,0,0,0
Vermont,,0,0,1,0,0,0,0,0,0,0
Middle Atlantic,,,,,,,,,,,
New Jersey,,0,0,2,2,0,1,1,2,0,2
New York,,2,2,3,1,3,1,3,2,2,1
Pennsylvania,,2,3,1,0,1,1,2,2,0,1
MIDWEST,,,,,,,,,,,
East North Central,,,,,,,,,,,
Illinois,,0,0,2,3,1,1,0,5,0,0
Indiana,,2,1,0,1,2,0,1,2,3,3
Michigan,,1,0,2,1,4,3,1,1,0,2
Ohio,,1,1,1,0,4,3,1,1,2,0
Wisconsin,,0,1,0,4,1,0,0,1,3,0
West North Central,,,,,,,,,,,
Iowa,,1,0,0,3,0,0,0,1,0,0
Kansas,,0,1,0,1,0,3,0,0,0,0
Minnesota,,0,0,0,1,0,0,1,0,0,2
Missouri,,1,2,2,2,2,1,1,3,1,2
Nebraska,,0,0,0,0,0,0,1,0,0,2
North Dakota,,0,0,0,0,0,0,0,0,0,0
South Dakota,,0,0,0,0,0,0,0,0,0,0
SOUTH,,,,,,,,,,,
South Atlantic,,,,,,,,,,,
Delaware,,2,0,0,0,0,0,2,0,0,0
District of Columbia,,0,0,0,0,1,1,1,0,1,0
Florida,,4,6,7,5,3,6,0,4,6,7
Georgia,,4,2,1,3,5,0,3,1,3,2
Maryland,,0,1,2,1,2,1,1,0,3,0
North Carolina,,2,0,2,3,2,3,1,1,2,3
South Carolina,,0,2,6,1,2,1,2,0,1,3
Virginia,,1,1,1,1,1,2,1,0,2,2
West Virginia,,0,0,0,0,1,0,0,0,0,1
East South Central,,,,,,,,,,,
Alabama,,6,2,3,2,0,4,2,1,1,2
Kentucky,,1,1,0,0,0,0,1,1,1,0
Mississippi,,0,0,0,2,2,1,0,1,1,1
Tennessee,,0,2,2,0,1,1,2,2,2,5
West South Central,,,,,,,,,,,
Arkansas,,0,2,2,1,0,1,0,3,7,0
Louisiana,,1,3,3,1,2,2,4,2,4,6
Oklahoma,,3,0,1,0,0,2,0,1,3,1
Texas,,14,4,10,6,8,6,2,6,4,3
WEST,,,,,,,,,,,
Mountain,,,,,,,,,,,
Arizona,,6,0,2,2,2,1,1,0,5,2
Colorado,,1,0,0,1,0,0,1,1,0,1
Idaho,,0,0,0,0,0,1,0,0,0,0
Montana,,0,0,0,0,0,0,0,0,0,0
Nevada,,0,0,2,0,0,0,1,2,2,0
New Mexico,,1,0,1,0,0,0,0,1,0,0
Utah,,1,0,1,0,2,1,0,1,1,0
Wyoming,,0,0,0,1,2,0,0,0,1,0
Pacific,,,,,,,,,,,
Alaska,,0,0,1,0,2,0,0,0,0,0
California,,3,7,2,4,5,4,8,7,11,4
Hawaii,,1,2,0,0,0,2,0,1,0,1
Oregon,,0,0,0,2,0,0,1,3,0,1
Washington,,1,2,1,1,0,0,0,0,2,2
PUERTO RICO AND OTHER OUTLYING AREAS,,,,,,,,,,,
American Samoa,,,,,,,,,,,
Guam,,,,,,,,,,,
Mariana Islands,,,,,,,,,,,
Puerto Rico,,3,1,1,3,0,0,4,2,4,1
U.S. Virgin Islands,,,,,,,,,,,
